	11
卢新宁	5
南湖国际龙舟赛场	1
麻田	1
今年二三月份	1
正话	1
摩洛哥	43
秘鲁武装力量联合指挥部	4
摸索	24
浩气长存	1
贺卡	4
九三学社	9
拖住	1
农历	2
星期日电讯报	2
李远哲	2
之中	262
配音	2
７０余次	1
诘问	1
机具	6
爱沙尼亚国防部	3
省农业厅中方专家组	1
校长	195
机关	529
外客	1
集纳	1
正电	2
香港工商界人士访京团	2
起见	3
吕伟雄	1
七百多万元	2
天花乱坠	3
归期	1
大国家党	1
朱元	1
１２８亩	1
４万来块	1
夏初	1
肖琳	3
践	2
猪肉	6
集约	5
六月十二日	2
４０００亿美元	2
８０９名	1
１９９５年１２月	8
长阳土家族自治县	3
外宾	9
血吸虫	2
８１００万	1
开往	8
开征	3
树丫	1
常熟市人民法院	1
朱田夫	2
马尔登	1
麻痹	4
百余元钱	1
３１９个	1
中共中央编译局	1
省司法厅	3
人所共知	4
爸爸	53
达登	2
公开赛	28
９８３５个	1
平复	1
１５万元	10
黄淮海平原	1
七党联盟	1
解放军军乐团	1
卢强	1
依依不舍	5
蚕食	2
十二位	2
自留地	1
江河行地	1
圣路易斯	1
中华幸福功总会	2
１０秒９０	2
普通话	18
沈阳黎明服装集团	1
一两公里	1
南非工会大会	1
５０００万元	8
１９４２年	7
联邦储备委员会	3
中国农机研究院	1
伊丽莎白体育馆	4
几百万个	1
冷柜	1
录井公司一分公司	1
后怕	1
８５００年	1
赏析	3
视而不见	5
开心	21
上海行政开发培训班	1
略带	5
五类	2
２５２５副	1
婚恋	2
校门	8
东北民主联军总政治部组织部	1
厦门市体育总会	1
配	113
冷枪	1
活物	1
洞头县委	1
陪衬	1
三点整	1
１０余所	2
升迁	3
九三学社中央	3
真假	14
氧化铝	1
小百货	2
肖璞	1
清初	10
风风光光	1
拨乱反正	20
方敬文	3
二百英镑	4
落荒	1
棋协	3
九三学社七大	1
１９８９年１２月	1
为时过晚	1
孙火旺	1
内贸部计划司	1
天津市文化局	1
绝对数	1
公费	16
梁金泉	2
四分	1
开市	3
业界	10
胪溪教育村	1
国花	1
７８１	2
７８２	1
煤渣胡同	3
５时	5
中美能源与环境研究中心	1
顺平	1
功过	1
粕	2
副官	2
口音	5
全日	1
内蒙古人民教育出版社	1
第七	10
秦振华	3
花	524
中国纺织大学	2
华盛顿联邦地方法院	2
潜水艇	1
安盟	49
葛洲坝工程局	1
４０家	2
指使	3
１１亿加元	1
现代造船厂	1
七十一平方米	1
绳头	1
中美韦氏黛安娜化妆品有限公司	1
吹风会	13
三小时	2
球磨机	1
大前提	5
束草市	1
７７８２米	1
将近	26
依仗	1
思村	2
华能华北分公司	2
武汉中山集团	1
萝卜	19
轰动一时	2
新沂市	3
高红冰	1
农业大学	1
缅甸电力代表团	1
人天	1
十二亿	6
八九不离十	1
小船	3
开幕	149
特殊教育	2
擢	1
王晶	1
第三	135
黄光成	1
刑讯	7
长毛兔	3
楚园	1
太原	66
今年５月２９日	1
绩	16
斡旋	25
日本经济同友会第三次访华团	1
国务院法制办公室	3
小舟	4
摇车	1
８４万人次	1
河锡舟	3
强弩之末	1
犀浦镇	1
留传	2
雹	2
寻	50
咽喉	3
渐变	1
平壤	29
国税部	1
明明净净	1
萨德尔	3
外婆	16
５０５０处	1
自语	1
路径	12
地对空	1
远虑	1
德国联邦议院外交和防务委员会	1
行驶	39
真切	20
荣华造纸厂	1
贝尼省	1
步调	1
青楼	1
刑警	10
１４０６６部	1
广东省财政厅	1
决非偶然	2
古天乐	1
黎兵	5
负	192
国航	3
中国个体劳动者协会	1
立体声	3
卢布	33
１５万升	1
土星	12
编演	2
光彩夺目	2
开庭	19
樱	1
７３７	12
舒衡哲	1
刘忠范	1
２０篇	2
爱建股份	1
阿尔夫瑞德	1
横幅	22
符国师	1
通山	6
错觉	3
１埃镑	1
百分之四十五	1
十二个	4
军工	5
威震	2
流通量	4
民盟安徽省委	5
泊	6
当时	417
夏县	2
解放军报长征出版社	1
当	984
哥伦比亚卡利	1
江夏区电器厂	1
古典	30
日本农林水产省畜产研究所	1
１７００种	1
一百家	1
户主	2
当日	25
幸事	3
督	16
包厢	1
幸亏	5
涉外分局	2
王琳娜	5
六路	1
打硬仗	6
铜佛	1
筹组	6
外地人	17
北京市聚福隆茶园	2
冷暖	17
扁平	4
袁行霈	2
生物磁学	1
１３３个	2
大通曼哈顿银行	1
郑重	31
胜似	1
巡演	1
５０秒３０	1
酒厂	4
献上	12
几公里	4
１１１６１亿港元	1
搜罗	2
咸宁市委	1
冲撞	6
乌萨马	1
芬	6
上海滩	1
锂	7
砝码	4
机场	121
四十万件	1
狮子	7
５５万瓶	1
南开大学	6
国脚	4
洗手间	2
暴跳如雷	2
专家评审委员会	2
傣	4
南昌胶鞋厂	1
７０部	3
以远	1
为数	7
薛安郡	9
当成	35
王若飞	1
新媳妇	4
三亚市人大常委会	1
竞争性	8
天下	102
天上	25
百种	5
开头	12
锶	4
肖特	2
南通亚食王保健品有限公司	1
中国日报社发行部	1
王晋元	1
６月４日	29
张璇	3
菜叶	1
胃	13
双星山	1
帕柳卡	4
眶	1
黄禾生	1
秘密	76
１５至２０名	1
１０００万个	3
喝问	1
埃德加多	1
编辑	139
古国	13
次年	4
孙中山	16
张仲彬	1
３３０万元	1
保税	4
须眉	3
周兴方	1
天书	1
牟新生	1
１０多名	7
择业	56
１５国集团	18
１５９台	1
五站	3
１２１万亩次	1
八路军１２０师	1
端正	28
美中不足	1
痹症	2
亚太事务委员会	1
倒换	1
３５吨	1
物美	1
通宵	7
１４００元	2
２００多万公斤	1
刘夏	1
呈交	1
５０万头	2
勇气	71
院校	72
茅屋	5
矩	2
典章	1
三本	3
镇定	4
布兰兹	1
发展中国家	214
冯诚	1
零时	9
天亮	7
项怀诚	6
巴黎国家图书馆	3
德伦特凯维奇	1
 上亿吨	1
城西乡	2
伏尔加	1
０７亩	1
武汉大学中文系	1
够格	2
四川省电力公司	1
绕行	2
天云	2
毛野德	3
备份	1
蜀山开发区	1
天井	3
次序	8
始而	1
熊光楷	11
片山潜	1
慧心	1
一九八一年十二月	1
中科院上海技术物理所	2
海轮	1
５００小时	1
剪刀	2
采用	300
硫化	2
散手	1
６５年	1
新华路	2
不成文	3
开始	1343
截然	3
天价	2
冰川	6
呈上	2
３００平方米	3
定评	3
汤姆森	7
昏昏欲睡	2
一百一十五周年	1
军火	2
开门见山	5
觞	1
卢奇	1
欢送	6
思想	1263
葛洲坝集团	1
良	16
村民组	1
公元１５世纪	1
硬骨头	2
早上４时４０分	1
突进	1
长效	7
兹	8
安静村	2
脱氧核糖核酸	6
威逼	3
驿	1
生长点	2
中国建设银行房贷部	1
国仇	1
聊城段	1
１００多万份	1
江绍原	1
公行	1
毛朝敬	1
响当当	5
百分之四十九	1
１９９６年１２月１０日	1
将要	28
矿渣厂	1
２５４医院	2
站住脚	3
空翻	3
云南省委常委会	1
戚	1
日本京都音乐厅	1
外商投资咨询服务中心	1
平庸	7
国家商检局	1
４６次	1
１９万担	1
夺标	3
普罗哈斯卡	1
船艇	9
后果	100
两三堆	1
洪朝生	1
５４７股	1
为民除害	1
逗人	1
辞书	4
寒冬腊月	1
８５５	1
机器	56
只字不提	1
天使	8
８５３	1
寒酸	3
８５８	2
狗熊	1
辞世	10
机械化	20
征婚启示	1
二百五十点	1
后手	1
二百四十个	1
医护	22
变幻莫测	5
１９４９年４月２０日	1
自尊心	5
买票	2
凡人	1
船舶	26
古城	29
择优	17
信息处理	6
冰山	14
气虚	1
武警北京第二总队医院	1
尽善尽美	2
颐指气使	1
天体	28
押金	8
１９９７年１１月	6
５万辆	7
９７２０亿元	1
战败	3
一百七十周年	2
柬选举委员会	1
芝加哥期权交易所	4
１９４６年７月２７日	1
１００余万元	1
飞针走线	1
翻车	1
五篇	1
炉渣	2
哈瓦那革命宫	1
１８９２年	2
任守滨	1
飞雪	1
外层	2
康涅狄格州	1
长春电影制片厂	4
王晓成	1
浑然	5
石器时代	4
停建	3
翅膀	20
摘抄	1
神灵	3
国营	13
禁运	13
根系	2
全国供销合作总社信息中心	1
十五万	2
第三枚	2
通婚	5
取得	1005
迢迢	1
哑巴亏	2
埃塞俄比亚	36
深渊	8
本世纪８０年代	1
在逃犯	1
去年最后一个季度	1
永垂不朽	4
平常	29
省检察院	1
十月二十八日	1
中饱私囊	2
４０００多年	1
上进	8
２２８０万元	1
卫生间	6
王娜梅	13
民航机械总厂	1
亲	64
两年四个月	2
后期	23
１００余万册	1
内政部	17
教科文	2
数百家	2
４００项	1
太山庙	1
中草药	15
足不出户	5
深湛	1
２万座	1
后来	233
错过	13
坐落	36
戒除	5
绒	7
吏治	4
中国共产党代表团	6
空缺	16
施昭	1
上千名	14
七十七周年	1
２５周年	2
塔瓦亚	1
中下游	31
７５９个	1
华东电脑	2
沟槽	1
坠毁	9
搞鬼	1
古	205
２万家	3
地心	2
平平	14
刘裕国	1
安玲	2
第十七位	1
湖南海利	1
保管	9
鹿	20
技艺	31
一五七一	1
陈寿民	1
幽	7
时点	1
额外负担	1
极	271
中国福利会	2
闸门	6
夜幕	13
粘合剂	3
模拟法庭	1
靖	1
后撤	3
死难	3
文化和娱乐部	1
研究者	13
以西	11
开封	7
劫富济贫	1
长枪	1
搬家	8
湖影厂	2
些	209
闵乃本	1
窠臼	2
３０００余种	1
八股	2
陕西秦牛	1
错谬	1
席间	2
巴尔干	38
哥达德	1
既有	78
国际排联	3
郑州共青团市委	2
一点八亿多元	1
喷灯	1
反面人物	1
西花厅办公室	1
新州	1
琢磨	26
平图塞维奇	1
券	7
为民应急指挥中心	4
卫生院	22
时至今日	12
百篇	2
中国东方电气集团公司	1
３３７吨	1
１５米	3
哈洛宁	2
卡斯特罗	8
６公里	5
平川	6
中保财产保险公司	8
１１小时	1
拿骚医疗中心	1
实录	2
毁坏	18
铜山县人民法院	2
四十多个	3
温智恒	2
八至十二名	1
夜市	9
２０００枚	1
６００多个	1
艘	27
６０６亿元	1
下村	1
农工党商丘市委	1
深深	150
尹凤意	1
水浇地	3
燥	3
俄罗斯联邦政府国民经济学院	1
７７国集团	1
采矿	9
棒喝	1
４０７７	1
倒胃口	1
１２５年	1
明细	8
情面	5
农垦	1
起跑	6
６００多万	2
梁晓华	1
５月３０日	42
棋圣	9
早７时	1
１９１８年春	1
暂住人口	3
郑杭生	1
公证	44
专业公司	2
刘阿彩	2
多片	1
和	24398
公诉	3
中共黑龙江省纪委	1
利润率	11
王海燕	1
劳动强度	6
鳌峰公园	1
弥勒佛	1
南泥湾	2
七百多美元	1
长期	505
以求	14
外形	10
宜春地委	1
施救	8
追逐	14
喜宏	1
肉质	6
９９美分	1
张君龙	1
施教	2
罗湖口岸	2
１卢比	2
刘永忠	1
查勘	17
１９９４年６月	5
长月	1
服务部	6
一季度一次	1
白宝仁	1
石田小十郎	1
风景点	1
翟伟	1
科学和技术部	1
镇委	6
二院	1
白春兰	1
书海	3
三令五申	6
施政	22
刘丽	1
一语道破	2
江苏省国税局	2
中共中央组织部	10
广州日报报业集团	2
冰心	6
亚明街道	7
纽带	27
深浅	2
阳萎	1
滚滚	24
亚军	62
胡真斯	1
太仓市浏河镇明德学校	1
工商业联合会	1
深刻性	3
济南军区	6
长条	2
２００多倍	2
因	856
公认	43
第五版	1
通天	3
深海	12
美国食品药品管理总署	1
美国联邦快递	1
顾金晓蕙	1
农场	37
李长云	20
８０００铢	3
舒畅	8
席小平	1
查办	20
邢惠勤	1
畜产研究所	1
北京丰盛中学	1
棋坛	3
万新垂钓园	1
誓言	9
公论	2
开导	8
范现国	2
大连市	23
蜀	7
和数	2
３８００毫升	1
北京瑞星电脑科技公司	1
减肥	32
既是	85
科勒	1
禁赌	2
浙江省高级人民法院	5
后方	16
朝中社	9
三十七名	2
未来学家	3
深沉	25
禁赛	13
长江动力集团	1
曼莫汉	1
风动工具	1
助产	3
带路	1
１８３２	1
１９０２２部	1
安全会议	8
天津津航红星工业总厂	1
南非国家博物馆	3
３６０亿美元	1
陈玉书	1
３级	4
鞭长莫及	3
纵深	13
６００多位	2
中国人民争取和平与裁军协会	1
三道	2
当月	19
二千四百多尊	1
２７０万亩	1
四十多位	2
１９４９年３月	1
登山大本营营地	1
仓皇	1
北京市戏曲学校京剧班	1
过得去	4
１４００名	2
遭际	1
本财政年度	2
胶印	1
四月五日	3
湖北省电力局幼儿园	1
下议院	1
２０００年元旦	1
负责阿	1
挚	3
徽标	1
悲哀	13
１９２１年	2
典礼	41
石桥水库	1
拙	4
鸟类	54
王根宝	4
有的放矢	5
二滩公司	1
路子	59
一番话	1
鼎立	3
２万头	4
书法	147
满眼	13
宋庄	1
缓刑	12
名堂	5
伊存	2
秦红	1
安然	7
五种	4
申维辰	2
５３２米	1
美军飞机失事记事碑	2
具体化	11
阿亚拉	2
柏苑	1
技能	100
童渊铭	1
４月１１日	3
２４２３７元	1
周文智	1
红塔集团	2
地动仪	1
１９９７年８月２９日	1
孙窑乡	1
南方贝尔	2
非线性	1
遭遇	54
江西省农资集团公司	1
零下十五六摄氏度	1
汇率	237
新疆维吾尔自治区党委	3
上流	1
麻烦	40
归拢	1
奥登西亚	3
掘	14
长春	57
杨家冲	1
雅鲁河	1
内罗毕	4
浩浩荡荡	11
中国金巢有限公司	1
深水	4
大吃一惊	3
一九九八年六月十六日	3
农工党福建省委	1
陪读	2
５４起	1
马国平青年突出队	1
杜毅	2
政法委	3
决定论	10
共青团济南市委	1
１万亿美元	3
根绝	1
韩玉波	1
８２项	1
卡拉奇	36
遭难	1
山药蛋	1
夜夜	2
民族魂	1
祖国和平统一委员会	1
外币	9
５０亿法郎	1
科欧曼	1
一九四九年九月	1
国情考察团	2
１６５公斤	1
义务工	8
甘肃省人事厅	1
中国地理学会	1
民主理财小组	1
中央公园区	1
９００比索	1
平展	2
９０多个	5
泥瓦匠	2
１５３年	2
浩然之气	3
张荣伟	6
热乎乎	1
密切	238
５０００万吨	3
胚	2
４０００多万	2
第一把手	2
上星期	2
红双喜	14
９０多万	2
六万五千	1
１２８公斤	1
亲情	23
碾子	1
小红门乡	2
楚剧	1
徐汉勇	5
文安县	1
三四个月	2
１５万吨	3
体重	28
８１部	1
６８件	2
孙庄村	1
十一届	97
巴勒斯坦解放组织	1
票券	2
平原	22
很难说	10
 汉	1
白湖乡	5
严令	1
平滑肌	1
红星报	2
路全荣	1
得道多助	1
撒手	3
晚１０时	1
和平共处五项原则	15
本月３日	5
多糖	1
山包	2
２６００万人民币	1
路向	3
亚当	5
因循守旧	6
意大利菲亚特	2
姜德明	3
吸食	4
焦	6
煤炭部	2
１８世纪	2
举世瞩目	24
不欢而散	2
改良主义	8
腼腆	4
吵嚷	1
土政策	3
坐视	3
４０００多只	1
小岭五七工具厂	1
陶建幸	1
外出	70
伯仲	1
哈达姆	1
市地税局	1
桀	1
中国文联组联部	1
选拔领导小组办公室	1
士兵会	2
啤酒花	7
１００元钱	3
位庄乡	1
卡脖子	1
农妇	2
１８万余件	1
４０万美元	1
寿礼	2
二千七百万平方米	1
平反	15
百余份	1
６００万元人民币	1
校际	2
西藏急救中心	3
外军	3
百余件	5
０６克	1
财政年度	6
猕猴桃	12
共和国	41
宛城区	1
五盘	2
尹玉龙	1
叶面	1
平台	25
语	82
三百五十万	1
斧	6
意大利	351
千余辆	2
的里雅斯特市	3
看上	1
一路平安	1
２０万立方米	1
机子	5
安全性	23
阻碍	44
百余个	1
刺骨	3
延边自治州	1
冷淡	8
中田英寿	4
三元	1
１６８个	1
今明两年	10
胜任	26
１３０辆	1
哈尔霍马	5
２０万辆	1
羊肉	5
战胜	262
卫生防疫	8
老战友	3
南哥打巴托省	1
表面化	2
吴澄	1
奥林匹克运动	2
伯乐	2
磁悬浮	3
卫星城	1
农奴	4
弥	6
冰冷	8
３０人次	1
麦金利峰	3
海军青岛防空司令部	1
小视	3
醒悟	3
外公	2
熟记	1
机宜	1
浅浅	2
庄稼	25
刘家俊	1
朵	48
美国联邦通信委员会	3
平流层	1
桐子林	1
长椅	2
三门峡	1
羊肠	1
上海康仕达食品有限公司	1
小觑	3
计委	1
五百	2
十所	3
社会民主工党	5
明灭	1
柔性	2
明灯	4
２０点	2
有一些	60
北大国际交流合作处	1
十一岁	3
马伯乐	1
卢仝	1
当权	4
洛德代尔堡国际机场	1
正版	5
减轻	124
萨哈洛夫	1
受难	2
环海路	1
全日空	1
又要	79
１万美元	1
冰凌	4
十六世纪	2
中专生	2
二十五位	1
熟读	1
１９万平方米	1
贺兰山	2
哨	34
机密	6
起草	31
林岱峰	1
斐	1
农大	1
效用	4
二百万册	1
困倦	2
堆龙德庆	1
昆剧	2
中国妇女报	2
中央日报	1
农夫	2
馒头	31
真实	142
４８５０件	1
罗源县	1
英国议会下院	1
２６００元	1
身手	7
王光英	22
油菜花	4
窍	1
低等	1
富士	2
５摄氏度	6
六辆	1
书报	1
４２０亿卢布	3
瓦屋山	1
１７０个	1
渚	3
保康县	1
旅途劳顿	1
１４８２５	1
３００法郎	1
真容	1
碰巧	3
施特拉斯堡	1
３２２	1
利物浦队	1
吴军	6
殆尽	6
碧空	1
孤老	2
形象设计美容美发厅	1
工人赤卫队	1
安置	198
前５个月	2
白乐天	1
风平浪静	4
旅游	358
神秘	36
圆滑	4
一二三等	1
万寿台山岗	1
安全感	7
夏天	59
史锦帛	1
城里人	23
中国农工民主党中央委员会	1
惧怕	5
打火机	3
１１５名	1
美联储	15
冷水	4
水落石出	2
柴油机	3
狙击手	1
１１万元	1
丁翠萍	2
尺蠖	2
９４所	1
凯末尔	1
卢波斯	1
博格雷	2
公营	1
邻县	1
几十辆	1
施密德	2
王瑞林	2
我军	70
斯托克顿	3
人寿保险管理协会	1
印刷博物馆	3
胱	1
圆满	93
夏夜	4
一干二净	2
说理	1
张廷翰	1
通信卫星	22
堂皇	1
战友歌舞团舞蹈队	1
八路军军政学院	1
税收征收管理法	1
麻绳	2
１万多块	1
江苏管理开发培训班	1
指	234
周晓梅	1
广东省剧协	1
六十年代中后期	1
起航	3
执法必严	1
书房	10
沿路	3
汤姆斯	23
壁垒	12
扭捏捏	1
云雾山	4
黄石管理区	2
宁都	1
７５米	1
平分	1
胶州湾	1
五一广场	4
揣测	2
站点	25
二千五百家	2
分界线	5
差误	1
陈特安	1
周远清	1
我党	22
如法炮制	1
１９７５年３月８日	1
为时已晚	3
７００多米	1
际会	3
行道	1
抢购	6
起舞	4
注销	5
申扎	2
耶伦	1
迷人	15
白俄罗斯总统官邸	1
瞧见	2
布市卫生局	2
摩托罗拉公司	12
４６户	1
白癜风	5
剪影	9
泽登	1
黄泽全	1
密封	20
普通股	2
２０秒	1
剪彩	12
太太	21
华伦天奴	1
精确度	1
有所不同	20
上车	15
编舞	1
伯伯	2
版画	14
王尚村	1
格里菲斯	1
百余位	6
好话	3
牵系	2
底板	1
枯黄	3
横向	20
批准	310
票友	5
１１９５万吨	1
世锦赛	64
柴	8
妙语	3
外债	64
八载	3
剔	1
塞法斯	1
电子工业部计算机与信息化推进司	2
数百名	18
陈云生	1
丹东港	6
抠门	1
温哥华	4
批判	28
小集团	1
评介	20
不可不	3
５９票	1
机头	2
机械局	1
单线	2
刘永华	1
陈德成	1
圈椅	1
中国文化部	1
南也门	1
赠款	2
销纳	1
后梁	1
里约热内卢	8
１６４万	1
禁飞区	6
宋双	3
外史	1
别有风味	1
圆润	1
外号	1
开场	22
常	146
克罗地亚反法西斯战士联合会	1
古墓	4
十一年	2
四月三十日	3
十六万元	1
工作小组	2
夺杯	17
大连市保税区三木国际贸易有限公司	1
深情厚谊	8
冷漠	9
中共地下党	1
多明戈	3
王立新	5
澳门特别行政区	29
年迈体弱	1
中国社会科学院党组	1
趋利避害	3
纯收入	56
美国航空管理局	2
１０００亩	5
３３００万元	4
滚打	1
农家	56
３０枚	1
上千家	6
奢	7
伊博姆州	1
南西奈	2
保琳	1
十一席	2
水产业	4
全国佛教协会	1
李崇淮	1
多级	2
夏娃	3
水闸	1
父老乡亲	20
２２００多万美元	1
战船	1
８０００项	1
７２００余平方公里	1
美利坚合众国	1
２万吨	6
日本索尼公司	2
战舰	8
六七次	1
神童	7
故障审查委员会	1
人才济济	7
奢靡	4
巷陌	1
大公无私	1
副刊	39
书橱	6
１５点	2
通商	3
深感	52
蹬	4
脖子	12
邮展	1
醒	18
斯特拉斯堡总领馆	1
零摄氏度	2
１０分钟	15
液化气	14
国力队	1
空灵	4
小说	167
新华日报	1
怄气	1
吴文斌	4
表面光洁度	2
暖水瓶	1
疯长	1
鸣	22
佐多稻子	2
开垦	18
裁撤	1
反对票	10
侵略者	11
这一下	4
漆画	2
２亿个	1
农学	3
十八米	1
３１１名	1
计划	929
塞内加尔上诉法院	2
家	1135
３７眼	1
东京池袋水族馆	1
２０００余名	3
汉斯	4
红日机械厂	1
起脚	5
口出狂言	1
雅戈尔	3
欧玛莉餐厅	1
石龙镇	1
蚕桑丝绸博物馆	1
卓别林	1
国内贸易局	1
去年１０月２０日	2
吉祥物	12
严河清	1
萨拉热窝	1
国家华侨事务委员会	1
波莱罗	1
路易斯维尔市	1
审批	109
国家工商局	5
１万多名	5
１５０万公斤	1
张显臣	10
１０００个	4
开埠	1
美国宾士域保龄公司	1
游乐场	2
平关	1
仪仗	3
波托马克河	1
４５０个	2
孔明	2
楼宇	3
恭请	1
棋子	9
皮件	2
华君武	4
法国足协	2
意大利国库部	2
中共南昌县委	1
边远地区	17
丹麦红十字会	2
沅	1
中国男子排球队	1
竞速	2
竞逐	1
保留	89
微山县	2
以总理办公室	3
效益	364
竞选	91
冰刀	1
倒	143
牢记	45
９０多公里	1
空间结构	1
强调	765
夜半	3
沈汉庭	1
葱茏	7
提请	21
纱	7
王沪宁	1
外勤	1
贫苦	10
钱程	1
２３亿美元	2
凤庄村	2
最高级	6
